[28-Dec-2025 23:13:47 America/Guayaquil] Venta creada - ID: 23, Fecha actual del servidor: 2025-12-28 23:13:47
[29-Dec-2025 00:14:19 America/Guayaquil] Venta creada - ID: 24, Fecha actual del servidor: 2025-12-29 00:14:19
[29-Dec-2025 00:30:35 America/Guayaquil] Venta creada - ID: 25, Método: TRANSFERENCIA, Comprobante: tsus-8277662627
[29-Dec-2025 19:22:24 America/Guayaquil] Venta creada - ID: 26, Método: EFECTIVO, Comprobante: N/A
[29-Dec-2025 19:25:18 America/Guayaquil] Venta creada - ID: 27, Método: TRANSFERENCIA, Comprobante: Bbdond
[30-Dec-2025 20:06:48 America/Guayaquil] Venta creada - ID: 28, Método: TRANSFERENCIA, Comprobante: Jsjsjsjs s
[02-Jan-2026 08:47:42 America/Guayaquil] Venta creada - ID: 29, Método: EFECTIVO, Comprobante: N/A
[03-Jan-2026 00:01:03 America/Guayaquil] Venta creada - ID: 30, Método: TRANSFERENCIA, Fecha: 2026-01-03 00:01:03
[03-Jan-2026 00:09:42 America/Guayaquil] Venta creada - ID: 31, Método: EFECTIVO, Fecha: 2026-01-03 00:09:42
[04-Jan-2026 02:16:28 America/Guayaquil] Venta creada - ID: 32, Método: TRANSFERENCIA, Fecha: 2026-01-04 02:16:28
[04-Jan-2026 10:51:58 America/Guayaquil] Venta creada - ID: 33, Método: TRANSFERENCIA, Fecha: 2026-01-04 10:51:58
[05-Jan-2026 19:48:11 America/Guayaquil] Venta creada - ID: 46, Método: TRANSFERENCIA, Fecha: 2026-01-05 19:48:11
[05-Jan-2026 19:49:50 America/Guayaquil] Venta creada - ID: 47, Método: TRANSFERENCIA, Fecha: 2026-01-05 19:49:50
[06-Jan-2026 22:16:00 America/Guayaquil] Venta creada - ID: 48, Método: EFECTIVO, Fecha: 2026-01-06 22:16:00
[06-Jan-2026 22:16:42 America/Guayaquil] Venta creada - ID: 49, Método: TRANSFERENCIA, Fecha: 2026-01-06 22:16:42
[06-Jan-2026 23:34:45 America/Guayaquil] Venta creada - ID: 50, Método: TRANSFERENCIA, Fecha: 2026-01-06 23:34:45
[06-Jan-2026 23:35:25 America/Guayaquil] Venta creada - ID: 51, Método: EFECTIVO, Fecha: 2026-01-06 23:35:25
[07-Jan-2026 00:37:23 America/Guayaquil] Venta creada - ID: 52, Método: EFECTIVO, Fecha: 2026-01-07 00:37:23
[07-Jan-2026 00:55:29 America/Guayaquil] Venta creada - ID: 53, Método: EFECTIVO, Fecha: 2026-01-07 00:55:29
[07-Jan-2026 00:56:12 America/Guayaquil] Venta creada - ID: 54, Método: EFECTIVO, Fecha: 2026-01-07 00:56:12
[07-Jan-2026 01:16:07 America/Guayaquil] Venta creada - ID: 55, Método: TRANSFERENCIA, Fecha: 2026-01-07 01:16:07
[08-Jan-2026 22:55:23 America/Guayaquil] Venta creada - ID: 56, Método: TRANSFERENCIA, Fecha: 2026-01-08 22:55:23
[08-Jan-2026 22:56:04 America/Guayaquil] Venta creada - ID: 57, Método: TRANSFERENCIA, Fecha: 2026-01-08 22:56:04
[08-Jan-2026 23:15:01 America/Guayaquil] Venta creada - ID: 58, Método: EFECTIVO, Fecha: 2026-01-08 23:15:01
[08-Jan-2026 23:23:14 America/Guayaquil] Venta creada - ID: 59, Método: TRANSFERENCIA, Fecha: 2026-01-08 23:23:14
[08-Jan-2026 23:23:44 America/Guayaquil] Venta creada - ID: 60, Método: EFECTIVO, Fecha: 2026-01-08 23:23:44
[09-Jan-2026 00:20:55 America/Guayaquil] Venta creada - ID: 61, Método: TRANSFERENCIA, Fecha: 2026-01-09 00:20:55
[09-Jan-2026 00:21:16 America/Guayaquil] Venta creada - ID: 62, Método: EFECTIVO, Fecha: 2026-01-09 00:21:16
[11-Jan-2026 21:21:26 America/Guayaquil] Venta creada - ID: 63, Método: EFECTIVO, Fecha: 2026-01-11 21:21:26
[11-Jan-2026 23:27:10 America/Guayaquil] Venta creada - ID: 64, Método: TRANSFERENCIA, Fecha: 2026-01-11 23:27:10
[11-Jan-2026 23:27:29 America/Guayaquil] Venta creada - ID: 65, Método: EFECTIVO, Fecha: 2026-01-11 23:27:29
[11-Jan-2026 23:34:02 America/Guayaquil] Venta creada - ID: 66, Método: EFECTIVO, Fecha: 2026-01-11 23:34:02
[12-Jan-2026 20:29:13 America/Guayaquil] Venta creada - ID: 67, Método: EFECTIVO, Fecha: 2026-01-12 20:29:13
[12-Jan-2026 23:52:15 America/Guayaquil] Venta creada - ID: 68, Método: EFECTIVO, Fecha: 2026-01-12 23:52:15
[13-Jan-2026 20:30:09 America/Guayaquil] Venta creada - ID: 69, Método: TRANSFERENCIA, Fecha: 2026-01-13 20:30:09
